name,weight,year,gender
Jace,0.007,1990,M
Jack,0.0069,1990,M
Jackson,0.0068,1990,M
Jaden,0.0067,1990,M
Jake,0.0066,1990,M
Jalen,0.0065,1990,M
Javier,0.0064,1990,M
Jaxson,0.0063,1990,M
Jayden,0.0062,1990,M
Jeremiah,0.0061,1990,M
Jerry,0.006,1990,M
Jesse,0.0059,1990,M
Jett,0.0058,1990,M
Jimmy,0.0057,1990,M
Joe,0.0056,1990,M
Joaquin,0.0055,1990,M
Johnathan,0.0054,1990,M
Johnny,0.0053,1990,M
Jonah,0.0052,1990,M
Jonas,0.0051,1990,M
Josiah,0.005,1990,M
Juan,0.0049,1990,M
Judah,0.0048,1990,M
Julian,0.0047,1990,M
Julio,0.0046,1990,M
Justice,0.0045,1990,M
Kaden,0.0044,1990,M
Kai,0.0043,1990,M
Kaleb,0.0042,1990,M
Kamden,0.0041,1990,M
Kane,0.004,1990,M
Karter,0.0039,1990,M
Kasen,0.0038,1990,M
Kason,0.0037,1990,M
Kaysen,0.0036,1990,M
Keegan,0.0035,1990,M
Keion,0.0034,1990,M
Keith,0.0033,1990,M
Kelvin,0.0032,1990,M
Kendall,0.0031,1990,M
Kendrick,0.003,1990,M
Kenneth,0.0029,1990,M
Kenzo,0.0028,1990,M
Kevin,0.0027,1990,M
Khalil,0.0026,1990,M
Kian,0.0025,1990,M
Kieran,0.0024,1990,M
King,0.0023,1990,M
Kingsley,0.0022,1990,M
Kingston,0.0021,1990,M
Knox,0.002,1990,M
Kobe,0.00199,1990,M
Koda,0.00198,1990,M
Kody,0.00197,1990,M
Kohen,0.00196,1990,M
Kole,0.00195,1990,M
Kolton,0.00194,1990,M
Konnor,0.00193,1990,M
Korbin,0.00192,1990,M
Krew,0.00191,1990,M
Kristian,0.0019,1990,M
Kristopher,0.00189,1990,M
Kye,0.00188,1990,M
Kylan,0.00187,1990,M
Kyle,0.00186,1990,M
Kylen,0.00185,1990,M
Kyler,0.00184,1990,M
Kylian,0.00183,1990,M
Kylo,0.00182,1990,M
Kyng,0.00181,1990,M
Kyree,0.0018,1990,M
